branch_name,p_value,alpha_value,significant?
21,0,0.00021367521367521368,y
22,0,0.0002145922746781116,y
28,0,0.00021551724137931037,y
42,0,0.00021645021645021645,y
1393,0,0.0002173913043478261,y
1585,0,0.0002183406113537118,y
1599,0.00000006,0.0002192982456140351,y
3,0.00000014,0.00022026431718061675,y
17,0.00000022,0.00022123893805309737,y
5,0.00000582,0.00022222222222222223,y
1593,0.00004248,0.00022321428571428573,y
43,0.00004266,0.0002242152466367713,y
25,0.00014312,0.00022522522522522523,y
37,0.00036612,0.00022624434389140272,n
1591,0.00122777,0.00022727272727272727,n
1392,0.00245994,0.00022831050228310504,n
34,0.00325952,0.00022935779816513763,n
1602,0.01276468,0.0002304147465437788,n
2932,0.01695146,0.0002314814814814815,n
1697,0.03061233,0.00023255813953488373,n
1583,0.04265813,0.00023364485981308412,n
2923,0.05059404,0.0002347417840375587,n
9,0.08760289,0.0002358490566037736,n
20,0.09678623,0.00023696682464454977,n
31,0.10176103,0.0002380952380952381,n
3669,0.10570892,0.00023923444976076556,n
3952,0.11542199,0.0002403846153846154,n
11,0.13878668,0.00024154589371980678,n
846,0.17144418,0.00024271844660194176,n
10,0.21746395,0.00024390243902439027,n
1698,0.23070534,0.00024509803921568627,n
4083,0.23320909,0.00024630541871921186,n
4749,0.24153507,0.00024752475247524753,n
3666,0.24735981,0.0002487562189054727,n
2221,0.25102494,0.00025,n
1100,0.25408344,0.0002512562814070352,n
3670,0.25779846,0.0002525252525252525,n
1394,0.2603826,0.0002538071065989848,n
2933,0.2613476,0.00025510204081632655,n
1248,0.2664501,0.0002564102564102564,n
23,0.27078919,0.0002577319587628866,n
1397,0.29432497,0.00025906735751295336,n
3903,0.32802852,0.00026041666666666666,n
2910,0.33835335,0.0002617801047120419,n
3809,0.34025561,0.0002631578947368421,n
1601,0.3919678,0.00026455026455026457,n
2520,0.39375032,0.00026595744680851064,n
273,0.39435052,0.00026737967914438503,n
3951,0.40158391,0.00026881720430107527,n
1311,0.40626348,0.0002702702702702703,n
4467,0.40761733,0.0002717391304347826,n
45,0.4200598,0.000273224043715847,n
2909,0.42661512,0.0002747252747252747,n
4595,0.4352002,0.00027624309392265195,n
4711,0.44038575,0.0002777777777777778,n
933,0.45073089,0.0002793296089385475,n
4224,0.49350818,0.0002808988764044944,n
3950,0.50715581,0.0002824858757062147,n
867,0.50731688,0.00028409090909090913,n
4225,0.51358714,0.00028571428571428574,n
114,0.5227344,0.00028735632183908046,n
3035,0.52912051,0.00028901734104046245,n
2172,0.52923596,0.00029069767441860465,n
3671,0.53090649,0.00029239766081871346,n
520,0.55945465,0.00029411764705882356,n
4748,0.59131883,0.0002958579881656805,n
3802,0.59577989,0.00029761904761904765,n
4112,0.60066986,0.0002994011976047904,n
4585,0.61372079,0.00030120481927710846,n
1,0.61580116,0.00030303030303030303,n
4586,0.62221551,0.0003048780487804878,n
1160,0.6249817,0.00030674846625766873,n
32,0.6572099,0.00030864197530864197,n
670,0.65876096,0.00031055900621118014,n
1704,0.69044515,0.0003125,n
1964,0.70111393,0.0003144654088050315,n
4343,0.70513075,0.00031645569620253165,n
853,0.7088037,0.00031847133757961787,n
272,0.71745236,0.0003205128205128205,n
936,0.71828477,0.0003225806451612903,n
4228,0.71950816,0.0003246753246753247,n
3947,0.72469075,0.00032679738562091506,n
3033,0.73807795,0.0003289473684210526,n
1396,0.74106448,0.00033112582781456954,n
1401,0.75082656,0.0003333333333333334,n
848,0.75512934,0.00033557046979865775,n
934,0.75732136,0.00033783783783783786,n
2812,0.75882364,0.00034013605442176874,n
1395,0.76492969,0.00034246575342465754,n
2926,0.77384192,0.0003448275862068966,n
1101,0.77735796,0.00034722222222222224,n
1596,0.79302197,0.00034965034965034965,n
130,0.79320038,0.00035211267605633805,n
850,0.7949459,0.0003546099290780142,n
2954,0.80089596,0.00035714285714285714,n
3668,0.80209352,0.00035971223021582735,n
851,0.80630537,0.00036231884057971015,n
118,0.8225681,0.00036496350364963507,n
1103,0.824592,0.0003676470588235294,n
4227,0.83054099,0.0003703703703703704,n
27,0.83125416,0.00037313432835820896,n
1391,0.84056493,0.00037593984962406017,n
3251,0.8420841,0.0003787878787878788,n
2928,0.84455439,0.0003816793893129771,n
4406,0.86107856,0.0003846153846153846,n
