Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species,group
DQ164189,West Nile virus,USA,NY,Albany,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
MH170259,West Nile virus,USA,GA,Fulton County,mosquito,culex quinquefasciatus,2009,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170260,West Nile virus,USA,GA,Fulton County,mosquito,culex quinquefasciatus,2009,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170266,West Nile virus,USA,GA,Fulton County,mosquito pool (25),culex quinquefasciatus,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
KX547366,West Nile virus,USA,NY,Bronx county,,carpodacus mexicanus,38574,"    Direct Submission
  ",bird,Passeriformes
KX547195,West Nile virus,USA,NY,Bronx county,,corvus brachyrhynchos,39344,"    Direct Submission
  ",bird,American Crow
KX547285,West Nile virus,USA,NY,Bronx county,,corvus brachyrhynchos,38215,"    Direct Submission
  ",bird,American Crow
KX547288,West Nile virus,USA,NY,Bronx county,,corvus brachyrhynchos,37829,"    Direct Submission
  ",bird,American Crow
KX547302,West Nile virus,USA,NY,Bronx county,,corvus brachyrhynchos,38203,"    Direct Submission
  ",bird,American Crow
KX547332,West Nile virus,USA,NY,Bronx county,,corvus brachyrhynchos,38572,"    Direct Submission
  ",bird,American Crow
KX547188,West Nile virus,USA,NY,Bronx county,,culex sp.,37848,"    Direct Submission
  ",mosquito,Culex
KX547189,West Nile virus,USA,NY,Bronx county,,culex sp.,37477,"    Direct Submission
  ",mosquito,Culex
KX547314,West Nile virus,USA,NY,Bronx county,,culex sp.,37526,"    Direct Submission
  ",mosquito,Culex
KX547165,West Nile virus,USA,NY,Bronx county,,cyanocitta cristata,38605,"    Direct Submission
  ",bird,Blue Jay
KX547307,West Nile virus,USA,NY,Bronx county,,cyanocitta cristata,38579,"    Direct Submission
  ",bird,Blue Jay
KX547308,West Nile virus,USA,NY,Bronx county,,cyanocitta cristata,38260,"    Direct Submission
  ",bird,Blue Jay
KX547554,West Nile virus,USA,NY,Bronx county,,turdus migratorius,37511,"    Direct Submission
  ",bird,Passeriformes
DQ164187,West Nile virus,USA,NY,Broome,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
KX547448,West Nile virus,USA,NY,Cayuga county,,corvus brachyrhynchos,37497,"    Direct Submission
  ",bird,American Crow
MH170265,West Nile virus,USA,GA,Chattron County,mosquito pool (16),culex quinquefasciatus,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
DQ164191,West Nile virus,USA,NY,Chautauqua county,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
KX547387,West Nile virus,USA,NY,Chautauqua county,,aedes sp.,38951,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547214,West Nile virus,USA,NY,Chautauqua county,,corvus brachyrhynchos,40066,"    Direct Submission
  ",bird,American Crow
KX547512,West Nile virus,USA,NY,Chautauqua county,,corvus brachyrhynchos,38586,"    Direct Submission
  ",bird,American Crow
KX547536,West Nile virus,USA,NY,Chautauqua county,,corvus brachyrhynchos,38139,"    Direct Submission
  ",bird,American Crow
KX547569,West Nile virus,USA,NY,Chautauqua county,,corvus brachyrhynchos,38938,"    Direct Submission
  ",bird,American Crow
KX547456,West Nile virus,USA,NY,Chautauqua county,,culex sp.,41121,"    Direct Submission
  ",mosquito,Culex
KX547206,West Nile virus,USA,NY,Chautauqua county,,culiseta sp.,42223,"    Direct Submission
  ",mosquito,Culiseta
KX547286,West Nile virus,USA,NY,Chautauqua county,,culiseta sp.,42250,"    Direct Submission
  ",mosquito,Culiseta
KX547427,West Nile virus,USA,NY,Chautauqua county,,cyanocitta cristata,38160,"    Direct Submission
  ",bird,Blue Jay
KX547244,West Nile virus,USA,NY,Chemung county,,corvus brachyrhynchos,37896,"    Direct Submission
  ",bird,American Crow
KX547490,West Nile virus,USA,NY,Chemung county,,corvus brachyrhynchos,37505,"    Direct Submission
  ",bird,American Crow
KX547584,West Nile virus,USA,NY,Chemung county,,corvus brachyrhynchos,37505,"    Direct Submission
  ",bird,American Crow
DQ164193,West Nile virus,USA,NY,Clinton,,american crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
KX547281,West Nile virus,USA,NY,Cortland county,,corvus brachyrhynchos,38142,"    Direct Submission
  ",bird,American Crow
KX547289,West Nile virus,USA,NY,Cortland county,,corvus brachyrhynchos,38630,"    Direct Submission
  ",bird,American Crow
KX547549,West Nile virus,USA,NY,Cortland county,,corvus brachyrhynchos,37896,"    Direct Submission
  ",bird,American Crow
KX547567,West Nile virus,USA,NY,Cortland county,,corvus brachyrhynchos,38955,"    Direct Submission
  ",bird,American Crow
MH170261,West Nile virus,USA,GA,Dekalb County,mosquito,culex quinquefasciatus,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170271,West Nile virus,USA,GA,Dekalb County,mosquito,culex sp.,2008,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170269,West Nile virus,USA,GA,Dekalb County,bird,cyanocitta cristata,2005,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Blue Jay
MH170275,West Nile virus,USA,GA,Dekalb County,bird,corvus brachyrhynchos,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,American Crow
MH170276,West Nile virus,USA,GA,Dekalb County,bird,corvus brachyrhynchos,2001,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,American Crow
KC711057,West Nile virus,USA,TX,Denton,,culex quinquefasciatus,41059,"    Continued evolution of West Nile virus, Houston, Texas, USA,
            2002-2012
  ",mosquito,Culex
KX547341,West Nile virus,USA,NY,Dutchess county,,corvus brachyrhynchos,38383,"    Direct Submission
  ",bird,American Crow
KX547419,West Nile virus,USA,NY,Dutchess county,,corvus brachyrhynchos,39317,"    Direct Submission
  ",bird,American Crow
KX547500,West Nile virus,USA,NY,Dutchess county,,corvus brachyrhynchos,39317,"    Direct Submission
  ",bird,American Crow
