Name,ecotype_number,organism,country,city/state,county,isolation_source,host,collection_date, ,species,group
AF202541,96,,,NY,,,human,1999,,human,
AF206518,97,West Nile virus,USA,CT,Greenwich-Stanford town,,culex pipiens,,"    Isolation of West Nile virus from mosquitoes, crows, and a Cooper's
            hawk in Connecticut
  ",mosquito,Culex
AF260967,94,West Nile virus,USA,NY,,,horse,1999,"    Complete genomic sequence of West Nile virus equine isolate New
            York 1999
  ",other_species,
AF260969,105,West Nile virus,Romania,,,,culex pipiens,,"    Entomologic and avian investigations of an epidemic of West Nile
            fever in Romania in 1996, with serologic and molecular
            characterization of a virus isolate from mosquitoes
  ",mosquito,Culex
AF317203,105,,Russia,Volgogra,,,Homo sapiens,,,human,
AF404753,98,West Nile virus,USA,MD,,,crow,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",bird,Passeriformes
AF404754,98,West Nile virus,USA,NJ,,,culex pipiens pool,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",mosquito,Culex
AF404755,91,West Nile virus,USA,NY,,,ruffed grouse,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",bird,Other Birds
AF404756,99,West Nile virus,USA,NY,,,crow,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",bird,Passeriformes
AF404757,105,West Nile virus,Italy,,,,equine,,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  ",other_species,
AF481864,100,West Nile virus,,,,,sick stork,,"    Introduction of West Nile virus in the Middle East by migrating
            white storks
  ",bird,Other Birds
AF533540,97,,,NY,,,human,2001,,human,
AJ965626,105,,Portugal,,,,,,,,
AJ965628,105,West Nile virus strain PT5.2,,,,,,,"    West Nile virus in Southern Portugal, 2004
  ",,
AM404308,107,West Nile virus strain PTRoxo,Portugal,,,,,,"    Two distinct introductions of the West Nile virus in Portugal
            disclosed by phylogenetic analysis of genomic sequences
  ",,
AY262283,105,,,,,,Culex univittatus,,,mosquito,Culex
AY268132,105,,,,,,,,,,
AY268133,102,,,,,,,,,,
AY277252,105,West Nile virus,Russia,"Volgograd, low Volga",,human brain in 1999,,,"    Analysis of a new variants of West Nile virus
  ",,
AY278441,103,West Nile virus,Russia,"Astrakhan, Volga delta",,human blood in 1999,,,"    Analysis of a new variants of West Nile virus
  ",,
AY278442,105,West Nile virus,Russia,"Volgograd, low Volga",,human blood in 2000,,,"    Analysis of a new variants of West Nile virus
  ",,
AY289214,97,West Nile virus,USA,TX,Beaumont,,human,2002,"    Characterization of a West Nile virus isolate from a human on the
            Gulf Coast of Texas
  ",human,
AY490240,107,West Nile virus,China,,,,,,"    Sequence determination and analysis of West Nile Virus Chin strain
  ",,
AY603654,107,West Nile virus,Ethiopia,,,,,,"    Envelope protein glycosylation status influences mouse
            neuroinvasion phenotype of genetic lineage 1 West Nile virus
            strains
  ",,
AY646354,86,West Nile virus,USA,NY,,serum,homo sapiens,2002,"    Complete Genome Sequence of West Nile Virus Strains Used for the
            Formulation of CBER/FDA RNA Reference Reagents and Lot Release
            Panels for Nucleic Acid Testing
  ",human,
AY660002,91,West Nile virus,Mexico,,,,,,"    Genome sequence and attenuating mutations in West Nile virus
            isolate from Mexico
  ",,
AY701412,105,,,,,,horse,,,other_species,
AY701413,105,,Morocco,,,,horse,2003,,other_species,
AY712945,46,West Nile virus,USA,TX,,,mourning dove,,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  ",bird,Columbiformes
AY712946,46,West Nile virus,USA,TX,,,bluejay,2003,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  ",bird,Blue Jay
AY712947,90,West Nile virus,USA,TX,,,blue jay,2003,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  ",bird,Blue Jay
AY712948,18,West Nile virus,USA,TX,,,culex quinquefasciatus,2003,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  ",mosquito,Culex
AY795965,86,West Nile virus,,MI,,,human  plasma,2002,,human,
AY842931,97,,USA,,,,raven,,,bird,Passeriformes
AY848695,97,West Nile virus strain 385-99,,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  ",,
AY848696,97,West Nile virus strain 385-99,,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  ",,
AY848697,97,West Nile virus strain 385-99,,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  ",,
DQ005530,25,West Nile virus,USA,UT,,,human  plasma,2003,,human,
DQ066423,97,West Nile virus strain 385-99,,,,kidney,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  ",,
DQ080051,5,,,AZ,Cochise County,,culex tarsalis,2003,,mosquito,Culex
DQ080052,1,,,AZ,Maricopoa Co.,,culex tarsalis,2003,,mosquito,Culex
DQ080053,1,,,AZ,Apache County,,culex tarsalis,2003,,mosquito,Culex
DQ080054,27,,,CA,Los Angeles,,culex quinquefasciatus,2003,,mosquito,Culex
DQ080055,29,,,CA,Imperial Valley,,culex tarsalis,2003,,mosquito,Culex
DQ080056,29,,,CA,Imperial Valley,,culex tarsalis,2003,,mosquito,Culex
DQ080057,38,,,CA,Los Angeles,,crow,2003,,bird,Passeriformes
DQ080058,38,,,CA,Los Angeles,,crow,2003,,bird,Passeriformes
DQ080059,33,,,CA,Sacramento,,magpie,2003,,bird,Passeriformes
