GenBank Accession,Host,Location (State),Isolate,Year,Geographic region,Flyway,Data subset,,,
KR348976,mosquito,CA,INYO_2,2011,West,Pacific,,B,C,
KR348977,mosquito,CA,INYO_25,2011,West,Pacific,,B,C,
KR349017,mosquito,CA,SHAS_125,2007,West,Pacific,A,B,,
KR348978,mosquito,CA,KERN_136,2008,West,Pacific,A,B,C,
KR349025,mosquito,CA,SHAS_145,2007,West,Pacific,A,B,,
KR348979,mosquito,CA,KERN_175,2004,West,Pacific,,B,,
KR348938,mosquito,CA,COAV_179,2011,West,Pacific,,,,
KR348997,mosquito,CA,SAYO_212,2005,West,Pacific,A,,C,
KR349018,mosquito,CA,SHAS_227,2007,West,Pacific,,,,
KR349019,mosquito,CA,SHAS_235,2009,West,Pacific,,,C,
KR348915,mosquito,CA,CNTR_251,2011,West,Pacific,,,,
KR348943,mosquito,CA,COAV_261,2004,West,Pacific,A,,,
KR348950,mosquito,CA,GRLA_277,2008,West,Pacific,A,,C,
KR349026,mosquito,CA,SUYA_294,2011,West,Pacific,A,B,,
KR349020,mosquito,CA,SHAS_318,2011,West,Pacific,,,C,
KR348945,mosquito,CA,COAV_339,2004,West,Pacific,A,B,,
KR348985,mosquito,CA,KERN_344,2007,West,Pacific,A,B,,
KR348951,mosquito,CA,GRLA_346,2004,West,Pacific,,,C,
KR348987,mosquito,CA,KERN_360,2008,West,Pacific,,,,
KR348916,mosquito,CA,CNTR_361,2008,West,Pacific,,,,
KR348917,mosquito,CA,CNTR_371,2008,West,Pacific,A,,,
KR348988,mosquito,CA,KERN_377,2008,West,Pacific,A,,C,
KR348999,mosquito,CA,SAYO_400,2005,West,Pacific,A,,,
KR348918,mosquito,CA,CNTR_401,2011,West,Pacific,,,C,
KR348989,mosquito,CA,KERN_446,2007,West,Pacific,A,B,,
KR348990,mosquito,CA,KERN_464,2007,West,Pacific,A,,,
KR348991,mosquito,CA,KERN_477,2007,West,Pacific,,,C,
KR348919,mosquito,CA,CNTR_493,2009,West,Pacific,A,B,C,
KR348920,mosquito,CA,CNTR_542,2009,West,Pacific,A,,C,
KR348921,mosquito,CA,CNTR_543,2009,West,Pacific,,B,C,
KR349010,mosquito,CA,SAYO_566,2005,West,Pacific,A,B,,
KR349011,mosquito,CA,SAYO_571,2005,West,Pacific,,,C,
KR349012,mosquito,CA,SAYO_572,2005,West,Pacific,,B,,
KR348922,mosquito,CA,CNTR_588,2009,West,Pacific,,B,,
KR348992,mosquito,CA,KERN_666,2006,West,Pacific,,B,,
KR348968,mosquito,CA,GRLA_746,2008,West,Pacific,A,B,,
KR348969,mosquito,CA,GRLA_752,2011,West,Pacific,,,,
KR348970,mosquito,CA,GRLA_754,2008,West,Pacific,,,C,
KR349015,mosquito,CA,SAYO_798,2004,West,Pacific,,B,C,
KR348971,mosquito,CA,GRLA_836,2011,West,Pacific,A,B,C,
KR348972,mosquito,CA,GRLA_855,2011,West,Pacific,A,,C,
KR348973,mosquito,CA,GRLA_857,2011,West,Pacific,,,,
KR348948,mosquito,CA,COAV_939,2004,West,Pacific,,B,,
KR348949,mosquito,CA,COAV_992,2004,West,Pacific,,,C,
KR349024,mosquito,CA,COAV_1022,2003,West,Pacific,,,,
KR348923,mosquito,CA,COAV_1023,2003,West,Pacific,,,C,
KR348924,mosquito,CA,COAV_1026,2003,West,Pacific,,B,,
KR348925,mosquito,CA,COAV_1028,2003,West,Pacific,A,B,,
KR348994,mosquito,CA,SAYO_1035,2005,West,Pacific,,,C,
KR348926,mosquito,CA,COAV_1091,2008,West,Pacific,,B,,
KR348927,mosquito,CA,COAV_1138,2003,West,Pacific,A,B,C,
KR348995,mosquito,CA,SAYO_1155,2005,West,Pacific,,B,,
KR348928,mosquito,CA,COAV_1260,2007,West,Pacific,A,,C,
KR348929,mosquito,CA,COAV_1333,2008,West,Pacific,,B,C,
KR348930,mosquito,CA,COAV_1511,2009,West,Pacific,A,B,,
KR348931,mosquito,CA,COAV_1515,2009,West,Pacific,,B,,
KR348932,mosquito,CA,COAV_1570,2007,West,Pacific,,B,,
KR348933,mosquito,CA,COAV_1572,2008,West,Pacific,A,,,
KR348934,mosquito,CA,COAV_1573,2007,West,Pacific,A,B,,
KR348935,mosquito,CA,COAV_1656,2005,West,Pacific,A,B,,
KR348936,mosquito,CA,COAV_1722,2008,West,Pacific,A,,,
KR348937,mosquito,CA,COAV_1788,2010,West,Pacific,,,,
KR348939,mosquito,CA,COAV_1794,2005,West,Pacific,A,B,,
KR348940,mosquito,CA,COAV_1871,2010,West,Pacific,,,,
KR348980,mosquito,CA,KERN_2000,2011,West,Pacific,,,,
KR348982,mosquito,CA,KERN_2019,2011,West,Pacific,A,,,
KR348984,mosquito,CA,KERN_2024,2011,West,Pacific,,,,
KR348941,mosquito,CA,COAV_2060,2011,West,Pacific,A,B,,
KR348942,mosquito,CA,COAV_2062,2011,West,Pacific,,,C,
KR348998,mosquito,CA,SAYO_2604,2008,West,Pacific,,B,,
KR348944,mosquito,CA,COAV_2667,2010,West,Pacific,,,,
KR349000,mosquito,CA,SAYO_4541,2008,West,Pacific,,,,
KR349002,mosquito,CA,SAYO_4723,2011,West,Pacific,A,,C,
KR349004,mosquito,CA,SAYO_4734,2011,West,Pacific,A,B,C,
KR349021,mosquito,CA,SAYO_4738,2011,West,Pacific,,,,
KR349006,mosquito,CA,SAYO_4740,2011,West,Pacific,,,,
KR349007,mosquito,CA,SAYO_5066,2005,West,Pacific,A,B,,
KR349008,mosquito,CA,SAYO_5073,2005,West,Pacific,,,,
KR349009,mosquito,CA,SAYO_5076,2005,West,Pacific,,,C,
KR348946,mosquito,CA,GRLA_5546,2008,West,Pacific,,B,C,
KR348947,mosquito,CA,GRLA_5894,2007,West,Pacific,,,,
KR348952,mosquito,CA,GRLA_5980,2007,West,Pacific,A,B,,
KR348953,mosquito,CA,GRLA_6006,2008,West,Pacific,A,B,C,
KR348954,mosquito,CA,GRLA_6133,2010,West,Pacific,,,,
KR348955,mosquito,CA,GRLA_6143,2007,West,Pacific,A,B,,
KR348956,mosquito,CA,GRLA_6170,2010,West,Pacific,,,C,
KR348957,mosquito,CA,GRLA_6178,2010,West,Pacific,,B,,
KR348958,mosquito,CA,GRLA_6246,2011,West,Pacific,A,B,C,
KR348959,mosquito,CA,GRLA_6247,2011,West,Pacific,,,C,
KR348960,mosquito,CA,GRLA_6249,2011,West,Pacific,,,,
KR348961,mosquito,CA,GRLA_6250,2011,West,Pacific,,B,,
KR349022,mosquito,CA,GRLA_6251,2011,West,Pacific,A,B,,
KR348962,mosquito,CA,GRLA_6254,2011,West,Pacific,,B,,
KR348963,mosquito,CA,GRLA_6257,2011,West,Pacific,A,,,
KR348964,mosquito,CA,GRLA_6472,2011,West,Pacific,,B,,
KR348965,mosquito,CA,GRLA_6476,2011,West,Pacific,,,C,
KR348966,mosquito,CA,GRLA_6483,2011,West,Pacific,,B,C,
KR348967,mosquito,CA,GRLA_6519,2011,West,Pacific,A,B,,
KR349013,mosquito,CA,SAYO_6588,2007,West,Pacific,,B,C,
KR349014,mosquito,CA,SAYO_6803,2008,West,Pacific,,B,C,
AY712945,Mourning Dove,TX,Bird 1153,2003,South,Central,,B,,
AY712946,Great-tailed Grackle,TX,Bird 1171,2003,South,Central,,,,
AY712947,Blue Jay  ,TX,Bird 1461,2003,South,Central,,,C,
AY712948,mosquito,TX,Mosquito v4369,2003,South,Central,,,C,
DQ080061,Northern Cardinal  ,LA,TWN496,2004,South,Mississippi,,B,,
DQ080072,Catbird,FL,FL232,2001,South,Atlantic,A,,,
DQ164186,American Crow  ,NY,NY 2002 Queens,2002,NorthEast,Atlantic,,B,C,
DQ164187,American Crow  ,NY,NY 2002 Broome,2002,NorthEast,Atlantic,A,B,C,
DQ164188,American Crow  ,NY,NY 2003 Westchester,2003,NorthEast,Atlantic,A,,C,
DQ164189,American Crow  ,NY,NY 2003 Albany,2003,NorthEast,Atlantic,,B,C,
DQ164190,American Crow  ,NY,NY 2003 Suffolk,2003,NorthEast,Atlantic,A,B,,
DQ164191,American Crow  ,NY,NY 2003 Chautauqua,2003,NorthEast,Atlantic,A,B,C,
DQ164192,American Crow  ,NY,NY 2003 Rockland,2003,NorthEast,Atlantic,,,,
DQ164193,American Crow  ,NY,NY 2002 Clinton,2002,NorthEast,Atlantic,A,B,C,
DQ164194,mosquito,NY,NY 2001 Suffolk,2001,NorthEast,Atlantic,A,,,
DQ164195,mosquito,NY,NY 2002 Nassau,2002,NorthEast,Atlantic,,,,
DQ164203,Magpie,CO,CO 2003 2,2003,West,Central,A,,,
DQ164204,Red-headed Tanager  ,CO,CO 2003 1,2003,West,Central,,,C,
HM488115,mosquito,CT,BIDV4103,2005,NorthEast,Atlantic,A,,C,
HM488116,mosquito,CT,BIDV4104,2005,NorthEast,Atlantic,,,,
