Name,organism,country,city/state,county,isolation_source,host,collection_date, 
AF196835,West Nile virus,USA,NY,,,flamingo,1999,"    Origin of the West Nile virus responsible for an outbreak of
            encephalitis in the northeastern United States
  "
AF202541,,,NY,,,Human,1999,
AF206518,West Nile virus,USA,CT,Greenwich-Stanford town,,Culex pipiens,,"    Isolation of West Nile virus from mosquitoes, crows, and a Cooper's
            hawk in Connecticut
  "
AF260967,West Nile virus,USA,NY,,,horse,1999,"    Complete genomic sequence of West Nile virus equine isolate New
            York 1999
  "
AF260968,West Nile virus,,,,,,,"    Complete genomic sequence of West Nile virus strain Eg101
  "
AF260969,West Nile virus,Romania,,,,Culex pipiens,,"    Entomologic and avian investigations of an epidemic of West Nile
            fever in Romania in 1996, with serologic and molecular
            characterization of a virus isolate from mosquitoes
  "
AF404753,West Nile virus,USA,MD,,,crow,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  "
AF404754,West Nile virus,USA,NJ,,,Culex pipiens pool,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  "
AF404755,West Nile virus,USA,NY,,,ruffed grouse,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  "
AF404756,West Nile virus,USA,NY,,,crow,2000,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  "
AF404757,West Nile virus,Italy,,,,equine,,"    Complete genome sequences and phylogenetic analysis of West Nile
            virus strains isolated from the United States, Europe, and the
            Middle East
  "
AF481864,West Nile virus,,,,,sick stork,,"    Introduction of West Nile virus in the Middle East by migrating
            white storks
  "
AF533540,,,NY,,,Human,2001,
AJ965628,West Nile virus strain PT5.2,,,,,,,"    West Nile virus in Southern Portugal, 2004
  "
AM404308,West Nile virus strain PTRoxo,Portugal,,,,,,"    Two distinct introductions of the West Nile virus in Portugal
            disclosed by phylogenetic analysis of genomic sequences
  "
AY277251,West Nile virus,Russia,,,"N-W Caucasus, mountain valley in 1998",Dermacentor marginatus,,"    West Nile virus and other zoonotic viruses in Russia: examples of
            emerging-reemerging situations
  "
AY277252,West Nile virus,Russia," Volgograd, low Volga",,human brain in 1999,,,"    Analysis of a new variants of West Nile virus
  "
AY278441,West Nile virus,Russia," Astrakhan, Volga delta",,human blood in 1999,,,"    Analysis of a new variants of West Nile virus
  "
AY278442,West Nile virus,Russia," Volgograd, low Volga",,human blood in 2000,,,"    Analysis of a new variants of West Nile virus
  "
AY289214,West Nile virus,USA,TX,Beaumont,,Human,2002,"    Characterization of a West Nile virus isolate from a human on the
            Gulf Coast of Texas
  "
AY490240,West Nile virus,China,,,,,,"    Sequence determination and analysis of West Nile Virus Chin strain
  "
AY532665,West Nile virus,,,,,,,"    An attenuated West Nile prototype virus is highly immunogenic and
            protects against the deadly NY99 strain: a candidate for live WN
            vaccine development
  "
AY603654,West Nile virus,Ethiopia,,,,,,"    Envelope protein glycosylation status influences mouse
            neuroinvasion phenotype of genetic lineage 1 West Nile virus
            strains
  "
AY646354,West Nile virus,USA,NY,,serum,Homo sapiens,2002,"    Complete Genome Sequence of West Nile Virus Strains Used for the
            Formulation of CBER/FDA RNA Reference Reagents and Lot Release
            Panels for Nucleic Acid Testing
  "
AY660002,West Nile virus,Mexico,,,,,,"    Genome sequence and attenuating mutations in West Nile virus
            isolate from Mexico
  "
AY688948,West Nile virus,Israel,,,,,,"    Inhibition of West Nile virus entry by using a recombinant domain
            III from the envelope glycoprotein
  "
AY712945,West Nile virus,USA,TX,,,mourning dove,,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  "
AY712946,West Nile virus,USA,TX,,,bluejay,2003,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  "
AY712947,West Nile virus,USA,TX,,,Blue Jay  ,2003,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  "
AY712948,West Nile virus,USA,TX,,,Culex quinquefasciatus,2003,"    Emergence of attenuated West Nile virus variants in Texas, 2003
  "
AY765264,West Nile virus,,,,,Culex pipiens,,"    First isolation of mosquito-borne West Nile virus in the Czech
            Republic
  "
AY795965,West Nile virus,,MI,,,human- plasma,2002,
AY842931.3,West Nile virus strain 385-99,USA,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  "
AY848695,West Nile virus strain 385-99,,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  "
AY848696,West Nile virus strain 385-99,,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  "
AY848697,West Nile virus strain 385-99,,,,,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  "
DQ005530,West Nile virus,USA,UT,,,human- plasma,2003,
DQ066423,West Nile virus strain 385-99,,,,kidney,,,"    Nucleotide and amino acid changes in West Nile virus strains
            exhibiting renal tropism in hamsters
  "
DQ080051,,,AZ,Cochise Co.,,Culex tarsalis,2003,
DQ080052,,,AZ,Maricopoa Co.,,Culex tarsalis,2003,
DQ080053,,,AZ,Apache Co.,,Culex tarsalis,2003,
