Accession number,Strain,Location,Host-species,Year,Lineage
AF260968,Eg101,Egypt,Human,1951,"1a, cluster 1"
AY603654,EthAn4766,Ethiopia,,1976,"1a, cluster 1"
EU249803,68856,India: Horabail,Rousettus leschenaultii,1968,"1a, cluster 1"
AM404308,PTRoxo,Portugal,Mosquito,1971,"1a, cluster 1"
AY268132,PaAn001 ,France,horse,2000,"1a, cluster 2"
DQ786573,France 407/04,France,common magpie (Pica pica) passage #2,2004,"1a, cluster 2"
DQ786572,France 405/04 ,France,house sparrow (passer domesticus) passage #1,2004,"1a, cluster 2"
FJ483548,15217,Italy,Magpie,2008,"1a, cluster 2"
FJ483549,15803,Italy,Magpie,2008,"1a, cluster 2"
GU011992,Ita09,Italy,Human serum,2009,"1a, cluster 2"
AF404757,Italy1998-equine,Italy,equine,1998,"1a, cluster 2"
AY262283,KN3829,Kenya,Culex univittatus,1998,"1a, cluster 2"
AY701413,WNV04.05,Morocco,horse,2003,"1a, cluster 2"
AY701412,96-111 ,Morocco,horse,1996,"1a, cluster 2"
AJ965628,PT5.2 ,Portugal,Cx univittatus,2004,"1a, cluster 2"
AJ965626,PT6.16,Portugal,Cx pipiens,2004,"1a, cluster 2"
AF260969,RO97-50,Romania,Culex pipiens,1996,"1a, cluster 2"
AF317203,VLG-4,Russia: Volgograd,Human,1999,"1a, cluster 2"
AY278442,LEIV-Vlg00-27924,"Russia: Volgograd, low Volga",Human,2000,"1a, cluster 2"
AY277252,LEIV-Vlg99-27889,"Russia: Volgograd, low Volga",Human,1999,"1a, cluster 2"
FJ766332,GE-2o/V,Spain,Aquila chrysaetos (Golden eagle),2007,"1a, cluster 2"
FJ766331,GE-1b/B,Spain,Aquila chrysaetos (Golden eagle),2007,"1a, cluster 2"
DQ411030,Ast01-182,Russia,Hyalomma Marginatum,2001,"1a, cluster 3"
DQ411031,Ast01-187,Russia,Corvus corone,2001,"1a, cluster 3"
DQ411029,Ast01-66,Russia,Phalacrocorax carbo,2001,"1a, cluster 3"
DQ411032,Ast02-3-146,Russia,Columba livia,2002,"1a, cluster 3"
DQ374651,Ast02-3-570,Russia,Pica pica,2002,"1a, cluster 3"
DQ374653,Ast02-2-25,Russia,Corvus corone,2002,"1a, cluster 3"
DQ377178,Ast02-2-26,Russia,Hyalomma marginatum,2002,"1a, cluster 3"
DQ377179,Ast02-2-298,Russia,Corvus frugilegus,2002,"1a, cluster 3"
DQ411034,Ast02-2-691,Russia,Anopheles messeae,2002,"1a, cluster 3"
DQ411035,Ast02-2-692,Russia,Anopheles messeae,2002,"1a, cluster 3"
DQ411033,Ast02-3-165,Russia,Phalacrocorax carbo,2002,"1a, cluster 3"
DQ377180,Ast02-3-208,Russia,Phalacrocorax carbo,2002,"1a, cluster 3"
DQ374650,Ast02-3-717,Russia,Phalacrocorax carbo (L.).,2002,"1a, cluster 3"
DQ374652,Ast04-2-824A,Russia,Corvus corone,2004,"1a, cluster 3"
AY278441,Ast99-901,"Russia: Astrakhan, Volga delta",human-blood,1999,"1a, cluster 3"
GQ379160,ArEq001,Argentina,Horse,2006,"1a, cluster 4"
GQ379161,ArEq003,Argentina,Horse,2006,"1a, cluster 4"
DQ118127,goose-Hungary/03,Hungary,goose,2003,"1a, cluster 4"
AF481864,IS-98 ST1 ,Israel,sick stork,1998,"1a, cluster 4"
AY660002,TM171-03 (Mex03) ,Mexico,Raven,2003,"1a, cluster 4"
DQ080065,TVP9221 ,Mexico:Baja Calfornia Norte,Grackel,2003,"1a, cluster 4"
DQ080064,TVP9222 ,Mexico:Baja Calfornia Norte,Coot,2003,"1a, cluster 4"
DQ080063,TVP9223 ,Mexico:Baja Calfornia Norte,Pigeon,2003,"1a, cluster 4"
DQ080066,TVP9220 ,Mexico:Baja Calfornia Norte,Cormorant,2003,"1a, cluster 4"
DQ080068,TVP9218 ,Mexico:Baja Calfornia Norte,Blue Heron,2003,"1a, cluster 4"
DQ080067,TVP9219 ,Mexico:Baja Calfornia Norte,Green Heron,2003,"1a, cluster 4"
DQ080060,WNVCc,Mexico:Baja Calfornia Norte,Raven,2004,"1a, cluster 4"
DQ080070,TVP9115 ,Mexico:Sonora,Grackel,2003,"1a, cluster 4"
DQ080069,TVP9117 ,Mexico:Tamaulipas,Horse,2003,"1a, cluster 4"
AY268133,PaH001,Tunisia,Human,1997,"1a, cluster 4"
DQ164201,AZ 2004 (Arizona 2004),USA: Arizona,human- plasma,2004,"1a, cluster 4"
DQ666448,BSL5-04,USA: Arizona,human- plasma,2004,"1a, cluster 4"
DQ431711,04-251AZ ,USA: Arizona,human- plasma,2004,"1a, cluster 4"
DQ431712,04-252AZ,USA: Arizona,human- plasma,2004,"1a, cluster 4"
DQ666451,BSL13-05,USA: Arizona,human- plasma,2005,"1a, cluster 4"
DQ431708,04-238CA,USA: California,human- plasma,2004,"1a, cluster 4"
DQ431700,04-213CA,USA: California,human- plasma,2004,"1a, cluster 4"
DQ431709,04-240CA,USA: California,human- plasma,2004,"1a, cluster 4"
DQ431710,04-244CA ,USA: California,human- plasma,2004,"1a, cluster 4"
GQ379158,ORCO0559-07,USA: California,Culex tarsalis,2007,"1a, cluster 4"
GQ379157,DB090718-14,USA: California,Crow,2008,"1a, cluster 4"
GQ379159,JPW080813-01,USA: California,fox squirrel,2008,"1a, cluster 4"
DQ080057,CA-03 Arcadia-S0331532 (I),"USA: California, Los Angeles",Crow,2003,"1a, cluster 4"
DQ080058,CA-03 Arcadia-S0334814 (J),"USA: California, Los Angeles",Crow,2003,"1a, cluster 4"
DQ080059,CA-04 SAC-04-7168 (L),"USA: California, Sacramento",Magpie,2003,"1a, cluster 4"
DQ164204,CO 2003 1 (Colorado 3068),USA: CO,Red-tailed hawk,2003,"1a, cluster 4"
DQ164203,CO 2003 2 (Colorado 3258),USA: CO,Magpie,2003,"1a, cluster 4"
DQ431701,04-214CO,USA: Colorado,human- plasma,2004,"1a, cluster 4"
DQ431702,04-216CO ,USA: Colorado,human- plasma,2004,"1a, cluster 4"
DQ431703,04-218CO,USA: Colorado,human- plasma,2004,"1a, cluster 4"
DQ431704,04-219CO,USA: Colorado,human- plasma,2004,"1a, cluster 4"
DQ431697,03-113FL,USA: Florida,human- plasma,2003,"1a, cluster 4"
DQ431698,03-120FL,USA: Florida,human- plasma,2003,"1a, cluster 4"
DQ431699,03-124FL,USA: Florida,human- plasma,2003,"1a, cluster 4"
DQ080072,FL232,"USA: Florida, Palm Beach Co.",Catbird,2001,"1a, cluster 4"
DQ080071,FL234,"USA: Florida, Sumter Co.",Horse,2002,"1a, cluster 4"
DQ164196,GA 2002 1 (68955),USA: GA,human- plasma,2002,"1a, cluster 4"
DQ164197,GA 2002 2 (68960),USA: GA,human- brain,2002,"1a, cluster 4"
DQ176637,TX 2002-HC,"USA: Hall County, Texas",grackle (Quiscalus quiscula),2002,"1a, cluster 4"
GU827998,Bird114,"USA: Harris County, Texas",blue jay,2002,"1a, cluster 4"
GU828002,v4095,"USA: Harris County, Texas",Culex quinquefasciatus,2003,"1a, cluster 4"
GU828001,v4380,"USA: Harris County, Texas",Culex quinquefasciatus,2003,"1a, cluster 4"
GU828000,Bird1175,"USA: Harris County, Texas",Bluejay,2003,"1a, cluster 4"
DQ431695,03-82IL,USA: Illinois,human- plasma,2003,"1a, cluster 4"
DQ164200,IN 2002 (81931),USA: IN,human- plasma,2002,"1a, cluster 4"
GU828003,Bird1881,"USA: Jefferson County, Texas",Mourning dove,2003,"1a, cluster 4"
AF404753,MD 2000-crow265,USA: Maryland,Crow,2000,"1a, cluster 4"
AY795965,ARC10-02,USA: Michigan,human- plasma,2002,"1a, cluster 4"
GU828004,Bird1519,"USA: Montgomery County, Texas",Bluejay,2003,"1a, cluster 4"
GU827999,Bird1576,"USA: Montgomery County, Texas",Bluejay,2003,"1a, cluster 4"
AF404754,NJ 2000 MQ5488,USA: New Jersey,Culex pipiens ,2000,"1a, cluster 4"
DQ431706,04-236NM,USA: New Mexico,human- plasma,2004,"1a, cluster 4"
DQ431707,04-237NM,USA: New Mexico,human- plasma,2004,"1a, cluster 4"
AF404756,NY 2000-crow3356,USA: New York,Crow,2000,"1a, cluster 4"
AF404755,NY 2000-grouse3282,USA: New York,ruffed grouse,2000,"1a, cluster 4"
AF533540,HNY2001,USA: New York,Human,2001,"1a, cluster 4"
AY646354,FDA-Hu2002,USA: New York,Human,2002,"1a, cluster 4"
"DQ211652, AY842931",NY99 385-99,USA: New York,Snowy Owl,1999,"1a, cluster 4"
AF196835,NY99-flamingo382-99,USA: New York,flamingo,1999,"1a, cluster 4"
AF202541,HNY1999 ,USA: New York,Human,1999,"1a, cluster 4"
